visit_date,name,dob,Theft_occured
16/06/2016,Samuel Casanova,12/03/1990,0
16/06/2016,Gerald Orozco,5/10/1990,0
16/06/2016,Sharon Davis,18/10/1990,0
16/06/2016,Spencer Spencer,13/10/1991,0
16/06/2016,Steven Estevez,13/01/1992,0
16/06/2016,Frances Bateman,6/05/1992,0
16/06/2016,Roberta Miller,25/06/1992,0
16/06/2016,William Rasmussen,17/03/1993,0
16/06/2016,Robert Shepherd,30/03/1993,0
16/06/2016,Joseph Higgins,9/05/1993,0
16/06/2016,Dale Kirkwood,22/05/1993,0
16/06/2016,Geraldine Arreola,27/05/1993,0
16/06/2016,John Velis,17/06/1993,0
16/06/2016,Nellie Jaynes,2/08/1993,0
16/06/2016,Gilbert Mackay,18/08/1993,0
16/06/2016,Judith Sanders,26/08/1993,0
16/06/2016,Ray Martin,29/08/1993,0
16/06/2016,Chris Macmillan,1/09/1993,0
16/06/2016,Vanessa Aguilar,10/12/1993,0
16/06/2016,Joshua Heimsness,12/12/1993,0
16/06/2016,John Bona,22/03/1994,0
16/06/2016,Antonio Woosley,26/03/1994,0
16/06/2016,Laura Sotelo,6/04/1994,0
16/06/2016,Mary Laura,9/04/1994,0
16/06/2016,Louise Horabik,10/04/1994,0
16/06/2016,Leonard Hart,27/04/1994,0
16/06/2016,Deborah Woods,10/05/1994,0
16/06/2016,William Nork,21/06/1994,0
16/06/2016,Debbie Mcneil,12/07/1994,0
16/06/2016,Vincent Greene,29/07/1994,0
16/06/2016,Juan Copeland,12/08/1994,0
16/06/2016,Emelda Clay,29/08/1994,0
16/06/2016,Ruby Stott,31/08/1994,0
16/06/2016,Roderick Anding,3/09/1994,0
16/06/2016,Claire Miller,15/09/1994,0
16/06/2016,Richard Davis,16/09/1994,0
16/06/2016,Inez Ward,20/10/1994,0
16/06/2016,Effie Garcia,14/11/1994,0
16/06/2016,Dong Brett,17/11/1994,0
16/06/2016,Helen Certain,18/11/1994,0
16/06/2016,Claudia Hughes,13/12/1994,0
16/06/2016,Barbara Mchale,19/12/1994,0
